time_s,v_mph,v_veh_m_per_s,accel_m_per_s,delta_distance_km,total_distance_km,brake_force_n,power_demand_drag_kw,power_demand_rolling_resistance_kw,power_demand_acceleration_kw,power_demand_accessories_kw,power_demand_vehicle_kw,total_vehicle_energy_mj,average_e_veh_over_vkt_mj_per_km,eta,instant_fuel_req_kw,total_fuel_energy_mj,fuel_consumption_liters,fuel_efficiency_km_per_l,avg_fuel_mj_per_km
1707,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.677472019625512,0.8428108045104795,0.016428695165765086,52.17352008143734,130.53926665067914,3.816937621364887,4.251681055819013,8.043877127893348
1708,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.678329162482655,0.8428636219653405,0.016428695165765086,52.17352008143734,130.59144017076056,3.8184631628877352,4.2499824363179535,8.04709207919216
1709,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.679186305339798,0.8429164394202014,0.016428695165765086,52.17352008143734,130.643613690842,3.819988704410584,4.2482851735301095,8.050307030490973
1710,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.68004344819694,0.8429692568750624,0.016428695165765086,52.17352008143734,130.6957872109234,3.821514245933433,4.246589265830689,8.053521981789785
1711,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.680900591054083,0.8430220743299234,0.016428695165765086,52.17352008143734,130.74796073100484,3.8230397874562816,4.244894711597493,8.0567369330886
1712,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.681757733911226,0.8430748917847845,0.016428695165765086,52.17352008143734,130.80013425108626,3.8245653289791304,4.2432015092109125,8.059951884387411
1713,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.682614876768369,0.8431277092396454,0.016428695165765086,52.17352008143734,130.8523077711677,3.8260908705019787,4.241509657053919,8.063166835686223
1714,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.683472019625512,0.8431805266945064,0.016428695165765086,52.17352008143734,130.9044812912491,3.8276164120248275,4.239819153512061,8.066381786985037
1715,0.0,0.0,0.0,0.0,16.228401375999976,0.0,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.684329162482655,0.8432333441493673,0.016428695165765086,52.17352008143734,130.95665481133054,3.8291419535476763,4.238129996973464,8.069596738283849
1716,1.0,0.44704,0.44704,0.00022352,16.228624895999975,0.0,3.7261969586495525e-05,0.1184074848,0.5995342847999999,0.8571428571428572,1.5751218887124436,13.685545294855583,0.8432966676202364,0.029146688297194624,54.04119578360638,131.00976216926307,3.83069480027085,4.236470338188395,8.072758043816412
